"","Department","total","tickets","warnings","perc_tickets","perc_warnings"
"1","Ansonia",4883,1940,2943,39.73,60.27
"2","Avon",667,202,465,30.28,69.72
"3","Berlin",6644,2840,3804,42.75,57.25
"4","Bethel",3712,1149,2563,30.95,69.05
"5","Bloomfield",5515,1992,3523,36.12,63.88
"6","Branford",6891,4779,2112,69.35,30.65
"7","Bridgeport",4717,3158,1559,66.95,33.05
"8","Bristol",4653,2157,2496,46.36,53.64
"9","Brookfield",3223,893,2330,27.71,72.29
"10","Canton",1751,429,1322,24.5,75.5
"11","CAPITOL POLICE",275,57,218,20.73,79.27
"12","CCSU",1791,553,1238,30.88,69.12
"13","Cheshire",4749,1361,3388,28.66,71.34
"14","Clinton",2332,473,1859,20.28,79.72
"15","Coventry",1343,571,772,42.52,57.48
"16","Cromwell",2330,800,1530,34.33,65.67
"17","Danbury",6182,5351,831,86.56,13.44
"18","Darien",3681,1914,1767,52,48
"19","Derby",3725,2947,778,79.11,20.89
"20","DMV",2317,1727,590,74.54,25.46
"21","East Hampton",725,277,448,38.21,61.79
"22","East Hartford",7542,4862,2680,64.47,35.53
"23","East Haven",1555,659,896,42.38,57.62
"24","East Windsor",1035,466,569,45.02,54.98
"25","Easton",427,132,295,30.91,69.09
"26","ECSU",173,12,161,6.94,93.06
"27","Enfield",7126,1730,5396,24.28,75.72
"28","Fairfield",4480,2030,2450,45.31,54.69
"29","Farmington",4525,2612,1913,57.72,42.28
"30","Glastonbury",5902,2557,3345,43.32,56.68
"31","Granby",1484,704,780,47.44,52.56
"32","Greenwich",8041,5281,2760,65.68,34.32
"33","Groton City",2805,1362,1443,48.56,51.44
"34","Groton Long Point",105,50,55,47.62,52.38
"35","Groton Town",6252,1803,4449,28.84,71.16
"36","Guilford",2711,492,2219,18.15,81.85
"37","Hamden",5442,1476,3966,27.12,72.88
"38","Hartford",8254,6786,1468,82.21,17.79
"39","Ledyard",10,2,8,20,80
"40","Madison",2733,713,2020,26.09,73.91
"41","Manchester",3407,1406,2001,41.27,58.73
"42","Meriden",3209,2664,545,83.02,16.98
"43","MET DIST WATER AUTHORITY",9,5,4,55.56,44.44
"44","Middlebury",266,19,247,7.14,92.86
"45","Middletown",3700,1361,2339,36.78,63.22
"46","Milford",4358,1672,2686,38.37,61.63
"47","Monroe",4319,1253,3066,29.01,70.99
"48","MTA Stamford",1,1,0,100,0
"49","Naugatuck",5907,1406,4501,23.8,76.2
"50","New Britain",5533,2460,3073,44.46,55.54
"51","New Canaan",4229,1265,2964,29.91,70.09
"52","New Haven",11159,7329,3830,65.68,34.32
"53","New London",1524,821,703,53.87,46.13
"54","New Milford",4049,2012,2037,49.69,50.31
"55","Newington",6410,2532,3878,39.5,60.5
"56","Newtown",9402,2571,6831,27.35,72.65
"57","North Branford",1340,634,706,47.31,52.69
"58","North Haven",2795,1559,1236,55.78,44.22
"59","Norwalk",7900,5147,2753,65.15,34.85
"60","Norwich",6919,2533,4386,36.61,63.39
"61","Old Saybrook",2783,608,2175,21.85,78.15
"62","Orange",3129,1552,1577,49.6,50.4
"63","Plainfield",1240,199,1041,16.05,83.95
"64","Plainville",4999,1217,3782,24.34,75.66
"65","Plymouth",2610,464,2146,17.78,82.22
"66","Portland",160,21,139,13.12,86.88
"67","Putnam",2308,164,2144,7.11,92.89
"68","Redding",2537,483,2054,19.04,80.96
"69","Ridgefield",7366,3352,4014,45.51,54.49
"70","Rocky Hill",3697,1554,2143,42.03,57.97
"71","SCSU",917,458,459,49.95,50.05
"72","Seymour",3710,887,2823,23.91,76.09
"73","Shelton",618,200,418,32.36,67.64
"74","Simsbury",3281,686,2595,20.91,79.09
"75","South Windsor",2615,1038,1577,39.69,60.31
"76","Southington",5395,1556,3839,28.84,71.16
"77","Stamford",760,465,295,61.18,38.82
"78","State Police",232605,178417,54188,76.7,23.3
"79","Stonington",1894,559,1335,29.51,70.49
"80","Stratford",2956,1231,1725,41.64,58.36
"81","Suffield",556,71,485,12.77,87.23
"82","Thomaston",942,170,772,18.05,81.95
"83","Torrington",8657,1673,6984,19.33,80.67
"84","Trumbull",2974,2257,717,75.89,24.11
"85","UCONN",1767,347,1420,19.64,80.36
"86","Vernon",3762,1171,2591,31.13,68.87
"87","Wallingford",9178,4155,5023,45.27,54.73
"88","Waterbury",1742,1182,560,67.85,32.15
"89","Waterford",3289,875,2414,26.6,73.4
"90","Watertown",1784,734,1050,41.14,58.86
"91","WCSU",38,9,29,23.68,76.32
"92","West Hartford",8221,4295,3926,52.24,47.76
"93","West Haven",3867,673,3194,17.4,82.6
"94","Weston",410,164,246,40,60
"95","Westport",7193,2989,4204,41.55,58.45
"96","Wethersfield",5547,1674,3873,30.18,69.82
"97","Willimantic",3942,885,3057,22.45,77.55
"98","Wilton",3893,1141,2752,29.31,70.69
"99","Windsor",5565,1173,4392,21.08,78.92
"100","Windsor Locks",2869,887,1982,30.92,69.08
"101","Winsted",717,225,492,31.38,68.62
"102","Wolcott",797,413,384,51.82,48.18
"103","Woodbridge",2465,1382,1083,56.06,43.94
"104","Yale",1050,469,581,44.67,55.33
